z,vpotbas,vxcpotbas
0.000000000000000000e+00,-1.752180172205432651e+00,-7.595103273408819078e+00
9.999999999999786837e-03,1.183963752684677129e+00,-4.636527438114747213e+00
2.000000000000046185e-02,1.378013615522921675e+00,-4.381831438654086419e+00
3.000000000000024869e-02,9.945608539216578281e-01,-4.675156665985897853e+00
4.000000000000003553e-02,9.724929067093806001e-01,-4.584867501285875946e+00
4.999999999999982236e-02,1.078196403892432986e+00,-4.350400427459778285e+00
6.000000000000049738e-02,1.164902624622332628e+00,-4.123240139362451373e+00
7.000000000000028422e-02,1.202540379533721948e+00,-3.937319765468390464e+00
8.000000000000007105e-02,1.202976314871234464e+00,-3.783851981912351725e+00
8.999999999999985789e-02,1.184272774070571188e+00,-3.647187073541950042e+00
1.000000000000005329e-01,1.160452162997152037e+00,-3.515190409320199549e+00
1.100000000000003197e-01,1.139675349134773086e+00,-3.381176675543430932e+00
1.200000000000001066e-01,1.125321409981277165e+00,-3.242905518396556275e+00
1.299999999999998934e-01,1.117763333494454336e+00,-3.100858321412011342e+00
1.399999999999996803e-01,1.115847932871747217e+00,-2.956800624116918463e+00
1.500000000000003553e-01,1.117844247883822639e+00,-2.812871366619192681e+00
1.600000000000001421e-01,1.121962533074010615e+00,-2.671097673908181314e+00
1.699999999999999289e-01,1.126604904383227357e+00,-2.533173612913403261e+00
1.799999999999997158e-01,1.130465742147833019e+00,-2.400384669678074623e+00
1.900000000000003908e-01,1.132550930027484082e+00,-2.273609340776720611e+00
2.000000000000001776e-01,1.132154604295506406e+00,-2.153360020287560683e+00
2.099999999999999645e-01,1.128816236364140524e+00,-2.039841276485188537e+00
2.199999999999997513e-01,1.122272086919437584e+00,-1.933012277103097531e+00
2.300000000000004263e-01,1.112409286105616513e+00,-1.832645729237416976e+00
2.400000000000002132e-01,1.099226650082407275e+00,-1.738379711485265489e+00
2.500000000000000000e-01,1.082803509960451827e+00,-1.649761549044932885e+00
2.599999999999997868e-01,1.063276129226657041e+00,-1.566284570258113185e+00
2.700000000000004619e-01,1.040820472426040144e+00,-1.487419394506399595e+00
2.800000000000002487e-01,1.015639870626219743e+00,-1.412641547017436050e+00
2.900000000000000355e-01,9.879562455731726311e-01,-1.341456890079284481e+00
2.999999999999998224e-01,9.580038107188562080e-01,-1.273425742452861886e+00
3.100000000000004974e-01,9.260244446698221443e-01,-1.208185750912734502e+00
3.200000000000002842e-01,8.922641728678882833e-01,-1.145472673765007610e+00
3.300000000000000711e-01,8.569703780421400463e-01,-1.085137371971241160e+00
3.399999999999998579e-01,8.203894919241550010e-01,-1.027156647530971245e+00
3.500000000000005329e-01,7.827650108815461527e-01,-9.716353372514335840e-01
3.600000000000003197e-01,7.443357384089550610e-01,-9.187974635617210950e-01
3.700000000000001066e-01,7.053341975175497769e-01,-8.689653616440697892e-01
3.799999999999998934e-01,6.659851827908374045e-01,-8.225274599206671144e-01
