z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-1.269838154806405273e+00,-5.165121062834428400e+00
1.000000000000333955e-03,-1.227683667828636249e+00,-5.122810147721759577e+00
1.999999999999779732e-03,-1.105264694660128111e+00,-4.999922943662673092e+00
3.000000000000113687e-03,-9.141057659627545018e-01,-4.807987053871773497e+00
4.000000000000447642e-03,-6.715106763095398668e-01,-4.564311115425407017e+00
4.999999999999893419e-03,-3.981147604886805524e-01,-4.289536706436511082e+00
6.000000000000227374e-03,-1.151650983774615833e-01,-4.004918119228539020e+00
6.999999999999673150e-03,1.579834428622876041e-01,-3.729817969377978937e+00
8.000000000000007105e-03,4.057655596048012070e-01,-3.479809462949258414e+00
9.000000000000341061e-03,6.174762855867692579e-01,-3.265605327659679702e+00
9.999999999999786837e-03,7.874877135268574246e-01,-3.092840898708826280e+00
1.100000000000012079e-02,9.147484696284529093e-01,-2.962574550955530572e+00
1.200000000000045475e-02,1.001805169003171070e+00,-2.872266232247329132e+00
1.299999999999990052e-02,1.053614871645961681e+00,-2.816965053864742163e+00
1.400000000000023448e-02,1.076385012907386640e+00,-2.790469438201593100e+00
1.499999999999968026e-02,1.076605929918739601e+00,-2.786294679924388173e+00
1.600000000000001421e-02,1.060357823912448927e+00,-2.798366063600532527e+00
1.700000000000034817e-02,1.032900782540223439e+00,-2.821428904629728951e+00
1.799999999999979394e-02,9.985060303852898445e-01,-2.851217340840559000e+00
1.900000000000012790e-02,9.604619121380471025e-01,-2.884448371339906281e+00
2.000000000000046185e-02,9.211851198645742977e-01,-2.918710634686055627e+00
2.099999999999990763e-02,8.823787162209343338e-01,-2.952306378933637010e+00
2.200000000000024158e-02,8.451956943465936956e-01,-2.984087887826461838e+00
2.299999999999968736e-02,8.103840879458422686e-01,-3.013312353379006048e+00
2.400000000000002132e-02,7.784034960597169261e-01,-3.039525333854979028e+00
2.500000000000035527e-02,7.495121150432529911e-01,-3.062473705182208850e+00
2.599999999999980105e-02,7.238283315562950015e-01,-3.082044055585907216e+00
2.700000000000013500e-02,7.013727295130258721e-01,-3.098220668178075954e+00
2.800000000000046896e-02,6.820962356613783362e-01,-3.111057369022621533e+00
2.899999999999991473e-02,6.658990883198229183e-01,-3.120658554748223512e+00
3.000000000000024869e-02,6.526440389198420178e-01,-3.127165989954285852e+00
3.099999999999969447e-02,6.421660506609323527e-01,-3.130749109712337219e+00
3.200000000000002842e-02,6.342798819854914560e-01,-3.131597438798779276e+00
3.300000000000036238e-02,6.287863426254567401e-01,-3.129914339412775970e+00
3.399999999999980815e-02,6.254776356738450671e-01,-3.125911674780802230e+00
3.500000000000014211e-02,6.241419854102582265e-01,-3.119805185316163243e+00
3.600000000000047606e-02,6.245676401815718481e-01,-3.111810492350367774e+00
3.699999999999992184e-02,6.265462901468931145e-01,-3.102139685082527798e+00
3.800000000000025580e-02,6.298759231701436256e-01,-3.090998470585049063e+00
3.899999999999970157e-02,6.343631416527198974e-01,-3.078583861447049319e+00
4.000000000000003553e-02,6.398249691271442607e-01,-3.065082373445412678e+00
4.100000000000036948e-02,6.460901830026494208e-01,-3.050668698431640902e+00
4.199999999999981526e-02,6.530002165764736688e-01,-3.035504803414599273e+00
4.300000000000014921e-02,6.604096783055480868e-01,-3.019739415871449228e+00
4.400000000000048317e-02,6.681865390986290176e-01,-3.003507838514019035e+00
4.499999999999992895e-02,6.762120391224235583e-01,-2.986932044838617628e+00
4.600000000000026290e-02,6.843803645691890480e-01,-2.970121003121015235e+00
4.699999999999970868e-02,6.925981423324905073e-01,-2.953171184086968104e+00
4.800000000000004263e-02,7.007837969262370459e-01,-2.936167203813257132e+00
4.900000000000037659e-02,7.088668095928206681e-01,-2.919182565963506004e+00
4.999999999999982236e-02,7.167869146870043950e-01,-2.902280465492216077e+00
5.100000000000015632e-02,7.244932633607070738e-01,-2.885514625430758429e+00
5.200000000000049027e-02,7.319435795365250019e-01,-2.868930140857536948e+00
5.299999999999993605e-02,7.391033283251207120e-01,-2.852564310620699040e+00
5.400000000000027001e-02,7.459449125490001942e-01,-2.836447440899524164e+00
5.499999999999971578e-02,7.524469089775902564e-01,-2.820603608674101537e+00
5.600000000000004974e-02,7.585933523130882206e-01,-2.805051378457271039e+00
5.700000000000038369e-02,7.643730719173796873e-01,-2.789804465494176711e+00
5.799999999999982947e-02,7.697790837373508221e-01,-2.774872343196520319e+00
5.900000000000016342e-02,7.748080378457014028e-01,-2.760260796699304464e+00
6.000000000000049738e-02,7.794597204307877059e-01,-2.745972420933528557e+00
6.099999999999994316e-02,7.837366078944477676e-01,-2.732007066866960709e+00
6.200000000000027711e-02,7.876434698980994131e-01,-2.718362239386073576e+00
6.299999999999972289e-02,7.911870176800347432e-01,-2.705033448720509881e+00
6.400000000000005684e-02,7.943755936966043762e-01,-2.692014522196806592e+00
6.500000000000039080e-02,7.972188985654968807e-01,-2.679297877551508833e+00
6.599999999999983658e-02,7.997277513648149982e-01,-2.666874763599593301e+00
6.700000000000017053e-02,8.019138795254658891e-01,-2.654735472005398833e+00
6.800000000000050449e-02,8.037897348119752428e-01,-2.642869520462730382e+00
6.899999999999995026e-02,8.053683321891381697e-01,-2.631265815927926077e+00
7.000000000000028422e-02,8.066631086953840457e-01,-2.619912797173499452e+00
7.099999999999972999e-02,8.076877997706758405e-01,-2.608798558282999114e+00
7.200000000000006395e-02,8.084563308037121532e-01,-2.597910958882291510e+00
7.300000000000039790e-02,8.089827219608013431e-01,-2.587237720185500578e+00
7.399999999999984368e-02,8.092810046312357564e-01,-2.576766509833781083e+00
7.500000000000017764e-02,8.093651480679390220e-01,-2.566485015663528824e+00
7.600000000000051159e-02,8.092489950164932777e-01,-2.556381012130114261e+00
7.699999999999995737e-02,8.089462053108068540e-01,-2.546442416695283040e+00
7.800000000000029132e-02,8.084702065711386609e-01,-2.536657340561470519e+00
7.899999999999973710e-02,8.078341512722372331e-01,-2.527014133077404523e+00
8.000000000000007105e-02,8.070508795586142092e-01,-2.517501419479306612e+00
8.100000000000040501e-02,8.061328872733057871e-01,-2.508108133384441718e+00
8.199999999999985079e-02,8.050922987387132412e-01,-2.498823545535707069e+00
8.300000000000018474e-02,8.039408438859735329e-01,-2.489637287510075847e+00
8.400000000000051870e-02,8.026898393753006955e-01,-2.480539371189033115e+00
8.499999999999996447e-02,8.013501733860842746e-01,-2.471520205016541905e+00
8.600000000000029843e-02,7.999322937842241465e-01,-2.462570606505981807e+00
8.699999999999974420e-02,7.984461993969418359e-01,-2.453681811772242760e+00
8.800000000000007816e-02,7.969014341434103033e-01,-2.444845482313045437e+00
8.900000000000041211e-02,7.953070837844378183e-01,-2.436053708278600460e+00
8.999999999999985789e-02,7.936717750666809623e-01,-2.427299011080599200e+00
9.100000000000019185e-02,7.920036770476097665e-01,-2.418574341994061516e+00
9.200000000000052580e-02,7.903105043969416155e-01,-2.409873079382431449e+00
9.299999999999997158e-02,7.885995224791220171e-01,-2.401189024572332187e+00
9.400000000000030553e-02,7.868775540299214333e-01,-2.392516395230446680e+00
9.499999999999975131e-02,7.851509872485921138e-01,-2.383849818851356162e+00
9.600000000000008527e-02,7.834257851353062518e-01,-2.375184323025551603e+00
9.700000000000041922e-02,7.817074959120932087e-01,-2.366515325019660221e+00
9.799999999999986500e-02,7.800012643739799856e-01,-2.357838622593757982e+00
9.900000000000019895e-02,7.783118440257325021e-01,-2.349150380582308628e+00
1.000000000000005329e-01,7.766436098683986433e-01,-2.340447119561544831e+00
1.009999999999999787e-01,7.750005717086375645e-01,-2.331725702580183857e+00
1.020000000000003126e-01,7.733863878727474939e-01,-2.322983321962954761e+00
1.029999999999997584e-01,7.718043792161359828e-01,-2.314217485573141886e+00
1.040000000000000924e-01,7.702575433276981354e-01,-2.305426003164261495e+00
1.050000000000004263e-01,7.687485688372535098e-01,-2.296606971994397561e+00
1.059999999999998721e-01,7.672798497425691311e-01,-2.287758763585621580e+00
1.070000000000002061e-01,7.658534996807261352e-01,-2.278880009154342190e+00
1.080000000000005400e-01,7.644713660765163343e-01,-2.269969585920448729e+00
1.089999999999999858e-01,7.631350441081328206e-01,-2.261026603656318468e+00
1.100000000000003197e-01,7.618458904376957941e-01,-2.252050390872033070e+00
1.109999999999997655e-01,7.606050366610641600e-01,-2.243040482617305820e+00
1.120000000000000995e-01,7.594134024378360603e-01,-2.233996606251418271e+00
1.130000000000004334e-01,7.582717082685955790e-01,-2.224918670215201733e+00
1.139999999999998792e-01,7.571804878920955773e-01,-2.215806751127148200e+00
1.150000000000002132e-01,7.561401002803495031e-01,-2.206661082039574673e+00
1.160000000000005471e-01,7.551507412144848885e-01,-2.197482042553994042e+00
1.169999999999999929e-01,7.542124544285885301e-01,-2.188270145799806610e+00
1.180000000000003268e-01,7.533251423128507485e-01,-2.179026029546390131e+00
1.189999999999997726e-01,7.524885761709606546e-01,-2.169750445398070049e+00
1.200000000000001066e-01,7.517024060299123400e-01,-2.160444250092451224e+00
1.210000000000004405e-01,7.509661700033521958e-01,-2.151108395593130940e+00
1.219999999999998863e-01,7.502793032120784744e-01,-2.141743920673832235e+00
1.230000000000002203e-01,7.496411462675673931e-01,-2.132351942906807629e+00
1.239999999999996660e-01,7.490509533263126629e-01,-2.122933650979713871e+00
1.250000000000000000e-01,7.485078997243561627e-01,-2.113490296562765103e+00
1.260000000000003340e-01,7.480110892028004610e-01,-2.104023188300761404e+00
1.269999999999997797e-01,7.475595607361568140e-01,-2.094533684405170515e+00
1.280000000000001137e-01,7.471522949763017563e-01,-2.085023187257089017e+00
1.290000000000004476e-01,7.467882203254923024e-01,-2.075493136886630730e+00
1.299999999999998934e-01,7.464662186523859377e-01,-2.065945005773650145e+00
1.310000000000002274e-01,7.461851306653345395e-01,-2.056380293856752139e+00
1.319999999999996732e-01,7.459437609574378625e-01,-2.046800523452045439e+00
1.330000000000000071e-01,7.457408827378601002e-01,-2.037207235323649446e+00
1.340000000000003411e-01,7.455752422638897148e-01,-2.027601983378300332e+00
1.349999999999997868e-01,7.454455629880379908e-01,-2.017986332184190434e+00
1.360000000000001208e-01,7.453505494342714810e-01,-2.008361852062037212e+00
1.370000000000004547e-01,7.452888908171179105e-01,-1.998730116292465997e+00
1.379999999999999005e-01,7.452592644170666913e-01,-1.989092698248536184e+00
1.390000000000002345e-01,7.452603387252393352e-01,-1.979451167754845642e+00
1.399999999999996803e-01,7.452907763698789489e-01,-1.969807088891586844e+00
1.410000000000000142e-01,7.453492368367100607e-01,-1.960162017360959519e+00
1.420000000000003482e-01,7.454343789947536214e-01,-1.950517498153444773e+00
1.429999999999997939e-01,7.455448634386508955e-01,-1.940875063319382754e+00
1.440000000000001279e-01,7.456793546580405829e-01,-1.931236230285265254e+00
1.450000000000004619e-01,7.458365230440445748e-01,-1.921602499688980448e+00
1.459999999999999076e-01,7.460150467423701803e-01,-1.911975354225337487e+00
