z,vpotbas,vxcpotbas
0.000000000000000000e+00,-3.598221254887615128e+00,-9.440804061194391750e+00
9.999999999999786837e-03,1.340582417562677264e+00,-4.479616934888767332e+00
2.000000000000046185e-02,1.682177880355737010e+00,-4.077514684268651379e+00
3.000000000000024869e-02,1.035660254627496890e+00,-4.634120617041500800e+00
4.000000000000003553e-02,9.796340484889759503e-01,-4.578055175000723231e+00
4.999999999999982236e-02,1.136576178802527703e+00,-4.292625910134978184e+00
6.000000000000049738e-02,1.268350684080000956e+00,-4.020635084040055318e+00
7.000000000000028422e-02,1.325606788101573397e+00,-3.815241829317040700e+00
8.000000000000007105e-02,1.326414606091853798e+00,-3.661400561958508604e+00
8.999999999999985789e-02,1.298691447026216972e+00,-3.533548641501141674e+00
1.000000000000005329e-01,1.263982783301204949e+00,-3.411967174902725830e+00
1.100000000000003197e-01,1.234642861881498632e+00,-3.285716801419087396e+00
1.200000000000001066e-01,1.215555876529531343e+00,-3.150996925447930419e+00
1.299999999999998934e-01,1.206940737527697038e+00,-3.008396542857735056e+00
1.399999999999996803e-01,1.206693111991641754e+00,-2.860594634121099933e+00
1.500000000000003553e-01,1.211893097524727292e+00,-2.710888309714205580e+00
1.600000000000001421e-01,1.219633172401156651e+00,-2.562396938268546087e+00
1.699999999999999289e-01,1.227415447431295270e+00,-2.417694479908781169e+00
1.799999999999997158e-01,1.233303041444163251e+00,-2.278685881081486286e+00
1.900000000000003908e-01,1.235935835360808754e+00,-2.146617718243070350e+00
2.000000000000001776e-01,1.234474175322752165e+00,-2.022159798199380631e+00
2.099999999999999645e-01,1.228509260241453571e+00,-1.905519076333985762e+00
2.199999999999997513e-01,1.217964673365881767e+00,-1.796561351673471085e+00
2.300000000000004263e-01,1.203003764089091154e+00,-1.694925779146998268e+00
2.400000000000002132e-01,1.183950424238852772e+00,-1.600124257346519752e+00
2.500000000000000000e-01,1.161225811268631780e+00,-1.511622610071286843e+00
2.599999999999997868e-01,1.135300500710050731e+00,-1.428903407545605742e+00
2.700000000000004619e-01,1.106660001449410569e+00,-1.351511669301581176e+00
