z,vpotbas,vxcpotbas
0.000000000000000000e+00,-2.382709589214410784e+00,-6.277765633978027005e+00
9.999999999999786837e-03,9.044968667477796265e-01,-2.975637186589250582e+00
2.000000000000046185e-02,1.133642413936299054e+00,-2.706151680912584734e+00
3.000000000000024869e-02,7.054440378420173685e-01,-3.074408225539738471e+00
4.000000000000003553e-02,6.700260754561530030e-01,-3.035100477446032841e+00
4.999999999999982236e-02,7.761769996665955906e-01,-2.843293885569488477e+00
6.000000000000049738e-02,8.654086846276402012e-01,-2.660585459493523430e+00
7.000000000000028422e-02,9.048136350859792287e-01,-2.522421252393905355e+00
8.000000000000007105e-02,9.063652835075628467e-01,-2.418844929708208635e+00
8.999999999999985789e-02,8.886213305417833830e-01,-2.332869616215388131e+00
1.000000000000005329e-01,8.659259612261719363e-01,-2.251369692128157407e+00
1.100000000000003197e-01,8.465275816759914029e-01,-2.167040458715325357e+00
1.200000000000001066e-01,8.337188419464486300e-01,-2.077311729909000260e+00
1.299999999999998934e-01,8.276974011433217981e-01,-1.982524240268691784e+00
1.399999999999996803e-01,8.271183625770627268e-01,-1.884405628767119811e+00
1.500000000000003553e-01,8.300918853413740139e-01,-1.785096816599456293e+00
1.600000000000001421e-01,8.347297454974391684e-01,-1.686626907507535744e+00
1.699999999999999289e-01,8.394070050613776646e-01,-1.590671284719880507e+00
1.799999999999997158e-01,8.428617503070161554e-01,-1.498470401852090017e+00
1.900000000000003908e-01,8.442059295212546166e-01,-1.410836540600934441e+00
2.000000000000001776e-01,8.428891353944217846e-01,-1.328206882916804332e+00
2.099999999999999645e-01,8.386406715798053746e-01,-1.250717628474037557e+00
2.199999999999997513e-01,8.314058371481385379e-01,-1.178283173697354691e+00
2.300000000000004263e-01,8.212859871325921546e-01,-1.110670628042320862e+00
2.400000000000002132e-01,8.084872651044996417e-01,-1.047564508171491271e+00
2.500000000000000000e-01,7.932796599698194173e-01,-9.886196056197112947e-01
2.599999999999997868e-01,7.759660464295665694e-01,-9.335019205947630017e-01
2.700000000000004619e-01,7.568598648173048282e-01,-8.819184561425381652e-01
2.800000000000002487e-01,7.362697669321259797e-01,-8.336368940796058391e-01
2.900000000000000355e-01,7.144896135075810006e-01,-7.884960667772374920e-01
2.999999999999998224e-01,6.917924432013182745e-01,-7.464079720586889177e-01
3.100000000000004974e-01,6.684273104780766861e-01,-7.073520559075612280e-01
3.200000000000002842e-01,6.446181440510367899e-01,-6.713627043544196926e-01
3.300000000000000711e-01,6.205639852454629679e-01,-6.385113310397791953e-01
3.399999999999998579e-01,5.964401263286781552e-01,-6.088850003410476441e-01
3.500000000000005329e-01,5.723997911432368024e-01,-5.825640015233923830e-01
3.600000000000003197e-01,5.485760942107814619e-01,-5.596009866241465902e-01
3.700000000000001066e-01,5.250840877976957755e-01,-5.400040719186492977e-01
3.799999999999998934e-01,5.020227645938540872e-01,-5.237256696797999433e-01
3.899999999999996803e-01,4.794769299015620989e-01,-5.106578834477052409e-01
4.000000000000003553e-01,4.575188935174907545e-01,-5.006342868574368277e-01
4.100000000000001421e-01,4.362099591409472898e-01,-4.934370350873340527e-01
