z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-3.598221254887615128e+00,-9.440804061194391750e+00
1.000000000000333955e-03,-3.497160067555341811e+00,-9.339508704342961209e+00
1.999999999999779732e-03,-3.203658861578452477e+00,-9.045306571740336921e+00
3.000000000000113687e-03,-2.745307407487413087e+00,-8.585792047333169918e+00
4.000000000000447642e-03,-2.163532570245579656e+00,-8.002399266308632519e+00
4.999999999999893419e-03,-1.507740342245390774e+00,-7.344543593051406916e+00
6.000000000000227374e-03,-8.288066390695418839e-01,-6.663111768098429977e+00
6.999999999999673150e-03,-1.730844671250544309e-01,-6.004468425133715037e+00
8.000000000000007105e-03,4.221373823147420712e-01,-5.405914211588495277e+00
9.000000000000341061e-03,9.311976870243856563e-01,-4.893121991933882420e+00
9.999999999999786837e-03,1.340582417562677264e+00,-4.479616934888767332e+00
1.100000000000012079e-02,1.647727982604515029e+00,-4.167973127808519251e+00
1.200000000000045475e-02,1.858680550921092189e+00,-3.952154237472123910e+00
1.299999999999990052e-02,1.985255198955705458e+00,-3.820354431816001650e+00
1.400000000000023448e-02,2.042260751599218160e+00,-3.757773656240322779e+00
1.499999999999968026e-02,2.045185436657478206e+00,-3.748932110629924708e+00
1.600000000000001421e-02,2.008539180333039909e+00,-3.779328074170525298e+00
1.700000000000034817e-02,1.944873166037804246e+00,-3.836418441994648099e+00
1.799999999999979394e-02,1.864376539815725931e+00,-3.910022083615189548e+00
1.900000000000012790e-02,1.774891128702345000e+00,-3.992305158306809432e+00
2.000000000000046185e-02,1.682177880355737010e+00,-4.077514684268651379e+00
2.099999999999990763e-02,1.590295156831548873e+00,-4.161600235248233304e+00
2.200000000000024158e-02,1.501990153079516999e+00,-4.241822501540402079e+00
2.299999999999968736e-02,1.419046048691282591e+00,-4.316406112459969968e+00
2.400000000000002132e-02,1.342560650280596679e+00,-4.384260968191153296e+00
2.500000000000035527e-02,1.273154367042699242e+00,-4.444774239319318809e+00
2.599999999999980105e-02,1.211117236052451585e+00,-4.497663322894215554e+00
2.700000000000013500e-02,1.156509020004023114e+00,-4.542875728876672348e+00
2.800000000000046896e-02,1.109226093214907838e+00,-4.580522184433013066e+00
2.899999999999991473e-02,1.069046342116434234e+00,-4.610831727781813605e+00
3.000000000000024869e-02,1.035660254627496890e+00,-4.634120617041500800e+00
3.099999999999969447e-02,1.008693630574277522e+00,-4.650769621340251625e+00
3.200000000000002842e-02,9.877252458976825134e-01,-4.661206360468679755e+00
3.300000000000036238e-02,9.723013657921871777e-01,-4.665890797195282325e+00
3.399999999999980815e-02,9.619481042258044567e-01,-4.665302886093856571e+00
3.500000000000014211e-02,9.561821138449980717e-01,-4.659931889455096510e+00
3.600000000000047606e-02,9.545198240779458887e-01,-4.650267148977952125e+00
3.699999999999992184e-02,9.564853250084459635e-01,-4.636790208841285121e+00
3.800000000000025580e-02,9.616169534193408364e-01,-4.619968238434490893e+00
3.899999999999970157e-02,9.694726348161446516e-01,-4.600248697009028831e+00
4.000000000000003553e-02,9.796340484889759503e-01,-4.578055175000723231e+00
4.100000000000036948e-02,9.917096998507179961e-01,-4.553784330155598248e+00
4.199999999999981526e-02,1.005336999681439192e+00,-4.527803809963328874e+00
4.300000000000014921e-02,1.020183461121188628e+00,-4.500451061598070623e+00
4.400000000000048317e-02,1.035947131610187810e+00,-4.472032903136217818e+00
4.499999999999992895e-02,1.052356378652151481e+00,-4.442825741431589037e+00
4.600000000000026290e-02,1.069169145848507974e+00,-4.413076317306061647e+00
4.699999999999970868e-02,1.086171789865780113e+00,-4.383002872207475420e+00
4.800000000000004263e-02,1.103177600648899581e+00,-4.352796627843426691e+00
4.900000000000037659e-02,1.120025097048645835e+00,-4.322623492667558409e+00
4.999999999999982236e-02,1.136576178802527703e+00,-4.292625910134978184e+00
5.100000000000015632e-02,1.152714204113430618e+00,-4.262924781925100604e+00
5.200000000000049027e-02,1.168342050432274126e+00,-4.233621407163887795e+00
5.299999999999993605e-02,1.183380204886439024e+00,-4.204799392284655823e+00
5.400000000000027001e-02,1.197764920417880852e+00,-4.176526495088345392e+00
5.499999999999971578e-02,1.211446464322746941e+00,-4.148856375821861953e+00
5.600000000000004974e-02,1.224387477649872658e+00,-4.121830238892537857e+00
5.700000000000038369e-02,1.236561456874574194e+00,-4.095478351137298745e+00
5.799999999999982947e-02,1.247951363416133441e+00,-4.069821431365048703e+00
5.900000000000016342e-02,1.258548361858501163e+00,-4.044871913797152274e+00
6.000000000000049738e-02,1.268350684080000956e+00,-4.020635084040055318e+00
6.099999999999994316e-02,1.277362613789607693e+00,-3.997110095056432222e+00
6.200000000000027711e-02,1.285593584081627494e+00,-3.974290871007858161e+00
6.299999999999972289e-02,1.293057379431255427e+00,-3.952166904837396189e+00
6.400000000000005684e-02,1.299771432935320270e+00,-3.930723963120288822e+00
6.500000000000039080e-02,1.305756209436777837e+00,-3.909944703304974567e+00
6.599999999999983658e-02,1.311034665352333262e+00,-3.889809215295052525e+00
