z,vpotbas,vxcpotbas
0.000000000000000000e+00,-2.099125876897875109e+00,-9.889688662607138525e+00
9.999999999999786837e-03,1.586818508883028889e+00,-6.173834458270727410e+00
2.000000000000046185e-02,1.838315115259438137e+00,-5.841480313661052470e+00
3.000000000000024869e-02,1.357976267712168061e+00,-6.201650451313675205e+00
4.000000000000003553e-02,1.323804668631133552e+00,-6.086008669747174693e+00
4.999999999999982236e-02,1.449198278768809134e+00,-5.788925691497802895e+00
6.000000000000049738e-02,1.553533958450678432e+00,-5.497316384829730396e+00
7.000000000000028422e-02,1.599333277872085457e+00,-5.253809091777386087e+00
8.000000000000007105e-02,1.600447929818298753e+00,-5.048656475062055726e+00
8.999999999999985789e-02,1.578372360112287875e+00,-4.863578943489306639e+00
1.000000000000005329e-01,1.549847297520006606e+00,-4.684351196927655003e+00
1.100000000000003197e-01,1.524660473111944858e+00,-4.503152053649461806e+00
1.200000000000001066e-01,1.506920763485247949e+00,-4.317390808475387587e+00
1.299999999999998934e-01,1.497161911554415248e+00,-4.127673277083239611e+00
1.399999999999996803e-01,1.494094292308190797e+00,-3.936106229249322297e+00
1.500000000000003553e-01,1.495725325951616114e+00,-3.745226961806296551e+00
1.600000000000001421e-01,1.499971327826599810e+00,-3.557436334216063756e+00
1.699999999999999289e-01,1.504953102746386051e+00,-3.374742297817034498e+00
1.799999999999997158e-01,1.509115696321843503e+00,-3.198673287552313838e+00
1.900000000000003908e-01,1.511253882024911732e+00,-3.030280513918085283e+00
2.000000000000001776e-01,1.510488586354437723e+00,-2.870185079903937897e+00
2.099999999999999645e-01,1.506220622902242123e+00,-2.718644763509127760e+00
2.199999999999997513e-01,1.498077805760390957e+00,-2.575625450146332263e+00
2.300000000000004263e-01,1.485864821818419168e+00,-2.440868657246562101e+00
2.400000000000002132e-01,1.469520489465651281e+00,-2.313951171061769063e+00
2.500000000000000000e-01,1.449083800974505953e+00,-2.194335966105936286e+00
2.599999999999997868e-01,1.424668223183942928e+00,-2.081415485489594541e+00
2.700000000000004619e-01,1.396442826156372830e+00,-1.974549263551607980e+00
2.800000000000002487e-01,1.364618585846470777e+00,-1.873098000690617715e+00
2.900000000000000355e-01,1.329438361353697307e+00,-1.776455793075158773e+00
2.999999999999998224e-01,1.291169356731584061e+00,-1.684081428393657598e+00
3.100000000000004974e-01,1.250097205100827447e+00,-1.595528623614050678e+00
3.200000000000002842e-01,1.206521092610103763e+00,-1.510473915600924366e+00
3.300000000000000711e-01,1.160749551301242688e+00,-1.428739797719152937e+00
3.399999999999998579e-01,1.113096697366686261e+00,-1.350309849251437377e+00
3.500000000000005329e-01,1.063878788318440183e+00,-1.275332318770683759e+00
3.600000000000003197e-01,1.013411033883605317e+00,-1.204109166305200596e+00
3.700000000000001066e-01,9.620046329788334294e-01,-1.137069075106919902e+00
3.799999999999998934e-01,9.099640313734003172e-01,-1.074725300818093920e+00
3.899999999999996803e-01,8.575844071161415894e-01,-1.017621989114399383e+00
4.000000000000003553e-01,8.051493968581840965e-01,-9.662750706756982888e-01
4.100000000000001421e-01,7.529290779288662083e-01,-9.211152864106268989e-01
4.199999999999999289e-01,7.011782197595294308e-01,-8.824407970911009036e-01
4.299999999999997158e-01,6.501348149521716246e-01,-8.503851422296685447e-01
4.400000000000003908e-01,6.000188956982077659e-01,-8.249034896934348549e-01
4.500000000000001776e-01,5.510316359765036198e-01,-8.057769459334894746e-01
4.599999999999999645e-01,5.033547345016371466e-01,-7.926319841211186823e-01
4.699999999999997513e-01,4.571500681564413249e-01,-7.849703483190211273e-01
4.800000000000004263e-01,4.125596009299991040e-01,-7.822042744810165926e-01
4.900000000000002132e-01,3.697055294021520666e-01,-7.836923486647466852e-01
5.000000000000000000e-01,3.286906426888072108e-01,-7.887724347000735214e-01
5.099999999999997868e-01,2.895988725352514059e-01,-7.967894296210620286e-01
5.200000000000004619e-01,2.524960079022943171e-01,-8.071168439195633981e-01
5.300000000000002487e-01,2.174305478726019647e-01,-8.191721666847928685e-01
5.400000000000000355e-01,1.844346669198383415e-01,-8.324266104405414479e-01
5.499999999999998224e-01,1.535252674213677393e-01,-8.464101661733555160e-01
5.600000000000004974e-01,1.247050956368127572e-01,-8.607130009902196344e-01
5.700000000000002842e-01,9.796389910159764014e-02,-8.749841866683714109e-01
5.800000000000000711e-01,7.327960538356415032e-02,-8.889286144666651568e-01
5.899999999999998579e-01,5.061950431961081964e-02,-9.023027882771347263e-01
6.000000000000005329e-01,2.994141809811989852e-02,-9.149100278510571282e-01
6.100000000000003197e-01,1.119484580600338397e-02,-9.265954649160977885e-01
6.200000000000001066e-01,-5.677928745232763141e-03,-9.372410972314416666e-01
6.299999999999998934e-01,-2.074077500998028345e-02,-9.467610705053625120e-01
6.399999999999996803e-01,-3.406270666229160859e-02,-9.550972897585503496e-01
6.500000000000003553e-01,-4.571693087602834993e-02,-9.622154098323099092e-01
6.600000000000001421e-01,-5.577995969084614813e-02,-9.681012223278068207e-01
6.699999999999999289e-01,-6.433078580597972884e-02,-9.727574327815416977e-01
6.799999999999997158e-01,-7.145012391210303626e-02,-9.762008093529023212e-01
6.900000000000003908e-01,-7.721971762014956386e-02,-9.784596757100753051e-01
7.000000000000001776e-01,-8.172171116518323064e-02,-9.795717182926682032e-01
7.099999999999999645e-01,-8.503808434103798941e-02,-9.795820768224734465e-01
7.199999999999997513e-01,-8.725014854322998836e-02,-9.785416879642040433e-01
7.300000000000004263e-01,-8.843810134869933837e-02,-9.765058540263900078e-01
7.400000000000002132e-01,-8.868063672579229451e-02,-9.735330106194148847e-01
7.500000000000000000e-01,-8.805460773166229327e-02,-9.696836702109663531e-01
7.599999999999997868e-01,-8.663473840252622349e-02,-9.650195200209236157e-01
7.700000000000004619e-01,-8.449338146164542263e-02,-9.596026562115613778e-01
7.800000000000002487e-01,-8.170031844829517276e-02,-9.534949374599959171e-01
7.900000000000000355e-01,-7.832259889743198311e-02,-9.467574435073091710e-01
7.999999999999998224e-01,-7.442441526457732603e-02,-9.394500255278315226e-01
8.100000000000004974e-01,-7.006701038529783432e-02,-9.316309373656391779e-01
8.200000000000002842e-01,-6.530861437636881206e-02,-9.233565377325154699e-01
8.300000000000000711e-01,-6.020440802025439631e-02,-9.146810530016142859e-01
8.399999999999998579e-01,-5.480650982088097756e-02,-9.056563952260927586e-01
8.500000000000005329e-01,-4.916398407270128335e-02,-8.963320262627992863e-01
8.600000000000003197e-01,-4.332286744341473650e-02,-8.867548628561517932e-01
8.700000000000001066e-01,-3.732621173071437592e-02,-8.769692169891387667e-01
8.799999999999998934e-01,-3.121414061301730491e-02,-8.670167666573751486e-01
8.899999999999996803e-01,-2.502391837158635113e-02,-8.569365521901141092e-01
9.000000000000003553e-01,-1.879002871555290888e-02,-8.467649955433486086e-01
9.100000000000001421e-01,-1.254426199112290696e-02,-8.365359375623907523e-01
9.199999999999999289e-01,-6.315809200934663359e-03,-8.262806911156442835e-01
9.299999999999997158e-01,-1.313613986834161196e-04,-8.160281073025040799e-01
9.400000000000003908e-01,5.984786842745726254e-03,-8.058046519909448646e-01
9.500000000000001776e-01,1.201063106446720319e-02,-7.956344905317308536e-01
9.599999999999999645e-01,1.792634871045928335e-02,-7.855395795149756610e-01
9.699999999999997513e-01,2.371419001246061198e-02,-7.755397626765143659e-01
9.800000000000004263e-01,2.935836880389319781e-02,-7.656528705761700415e-01
9.900000000000002132e-01,3.484495399496417845e-02,-7.558948222932482253e-01
1.000000000000000000e+00,4.016176234686158475e-02,-7.462797279853292665e-01
1.009999999999999787e+00,4.529825309516544163e-02,-7.368199914674961049e-01
1.020000000000000462e+00,5.024542489120731315e-02,-7.275264121382229998e-01
1.030000000000000249e+00,5.499571545499765124e-02,-7.184082852147177789e-01
1.040000000000000036e+00,5.954290426431818606e-02,-7.094735002226387754e-01
1.049999999999999822e+00,6.388201854150782344e-02,-7.007286366155864865e-01
1.060000000000000497e+00,6.800924274216663123e-02,-6.921790564244836297e-01
1.070000000000000284e+00,7.192183169819421629e-02,-6.838289941343155265e-01
1.080000000000000071e+00,7.561802752111812520e-02,-6.756816424745105687e-01
1.089999999999999858e+00,7.909698033020551300e-02,-6.677392349940765026e-01
1.100000000000000533e+00,8.235867283323439203e-02,-6.600031247132885914e-01
1.110000000000000320e+00,8.540384875564627221e-02,-6.524738586447675903e-01
1.120000000000000107e+00,8.823394508593984664e-02,-6.451512491097104451e-01
1.129999999999999893e+00,9.085102808119183138e-02,-6.380344404272035863e-01
1.140000000000000568e+00,9.325773295634370852e-02,-6.311219723806038573e-01
1.150000000000000355e+00,9.545720716396671746e-02,-6.244118395494757667e-01
1.160000000000000142e+00,9.745305715741717223e-02,-6.179015470247841701e-01
1.169999999999999929e+00,9.924929851928707136e-02,-6.115881627858676950e-01
1.179999999999999716e+00,1.008503093285821606e-01,-6.054683663837810981e-01
1.190000000000000391e+00,1.022607866338839377e-01,-5.995384942580977983e-01
1.200000000000000178e+00,1.034857058955595543e-01,-5.937945822291148534e-01
1.209999999999999964e+00,1.045302832577220675e-01,-5.882324045252733669e-01
1.219999999999999751e+00,1.053999405097858222e-01,-5.828475101383807644e-01
1.230000000000000426e+00,1.061002725979937056e-01,-5.776352564923623589e-01
1.240000000000000213e+00,1.066370175489329830e-01,-5.725908403892066012e-01
1.250000000000000000e+00,1.070160286696812957e-01,-5.677093264437818032e-01
1.259999999999999787e+00,1.072432488926388650e-01,-5.629856734563780662e-01
1.270000000000000462e+00,1.073246871371475730e-01,-5.584147584583915025e-01
1.280000000000000249e+00,1.072663965645705431e-01,-5.539913986492284170e-01
1.290000000000000036e+00,1.070744546084319015e-01,-5.497103716870638257e-01
1.299999999999999822e+00,1.067549446664412816e-01,-5.455664339809811469e-01
1.310000000000000497e+00,1.063139393466051158e-01,-5.415543374724113290e-01
1.320000000000000284e+00,1.057574851651174874e-01,-5.376688447240510760e-01
1.330000000000000071e+00,1.050915885992106946e-01,-5.339047428010696983e-01
1.339999999999999858e+00,1.043222034036192514e-01,-5.302568556683873169e-01
1.350000000000000533e+00,1.034552191046663877e-01,-5.267200554108281141e-01
1.360000000000000320e+00,1.024964505912180218e-01,-5.232892722646360628e-01
1.370000000000000107e+00,1.014516287268201339e-01,-5.199595037084809857e-01
1.379999999999999893e+00,1.003263919121926834e-01,-5.167258224474802208e-01
1.390000000000000568e+00,9.912627853192568228e-02,-5.135833836677784481e-01
1.400000000000000355e+00,9.785672022363371692e-02,-5.105274311964494993e-01
1.410000000000000142e+00,9.652303591203213740e-02,-5.075533032287269375e-01
1.419999999999999929e+00,9.513042655433784356e-02,-5.046564370249047027e-01
1.429999999999999716e+00,9.368397054711047334e-02,-5.018323731837952550e-01
1.440000000000000391e+00,9.218861974811673465e-02,-4.990767592644793638e-01
1.450000000000000178e+00,9.064919607003496527e-02,-4.963853527832315926e-01
1.459999999999999964e+00,8.907038860582322526e-02,-4.937540237636992013e-01
1.469999999999999751e+00,8.745675124836201075e-02,-4.911787567595851667e-01
1.480000000000000426e+00,8.581270076956423742e-02,-4.886556526197588513e-01
1.490000000000000213e+00,8.414251532652036736e-02,-4.861809295422127031e-01
1.500000000000000000e+00,8.245033336444697325e-02,-4.837509241724150533e-01
1.509999999999999787e+00,8.074015288822711245e-02,-4.813620919188319469e-01
1.520000000000000462e+00,7.901583107618580237e-02,-4.790110074134866780e-01
1.530000000000000249e+00,7.728108421145267470e-02,-4.766943643311771228e-01
1.540000000000000036e+00,7.553948790783374112e-02,-4.744089751568613123e-01
1.549999999999999822e+00,7.379447760855278871e-02,-4.721517705599937442e-01
1.560000000000000497e+00,7.204934933754958415e-02,-4.699197988289626204e-01
1.570000000000000284e+00,7.030726068423680253e-02,-4.677102248280087804e-01
1.580000000000000071e+00,6.857123200373894945e-02,-4.655203288448285237e-01
1.589999999999999858e+00,6.684414781567578345e-02,-4.633475054215708266e-01
1.600000000000000533e+00,6.512875838549808671e-02,-4.611892618389908383e-01
1.610000000000000320e+00,6.342768147327841610e-02,-4.590432166046049534e-01
1.620000000000000107e+00,6.174340423566651581e-02,-4.569070978423003249e-01
1.629999999999999893e+00,6.007828526749678377e-02,-4.547787413966205561e-01
1.640000000000000568e+00,5.843455677023777495e-02,-4.526560890591369013e-01
1.650000000000000355e+00,5.681432683514085064e-02,-4.505371865887873861e-01
1.660000000000000142e+00,5.521958182957375366e-02,-4.484201816265953600e-01
1.669999999999999929e+00,5.365218887561783861e-02,-4.463033217215910398e-01
1.679999999999999716e+00,5.211389841055258376e-02,-4.441849520643444960e-01
1.690000000000000391e+00,5.060634681939694957e-02,-4.420635133617669132e-01
1.700000000000000178e+00,4.913105913016274640e-02,-4.399375395486483931e-01
1.709999999999999964e+00,4.768945176296620486e-02,-4.378056555859123344e-01
1.719999999999999751e+00,4.628283532459539357e-02,-4.356665750864323061e-01
1.730000000000000426e+00,4.491241744057514890e-02,-4.335190980256458104e-01
1.740000000000000213e+00,4.357930561718874329e-02,-4.313621084273648876e-01
1.750000000000000000e+00,4.228451012632331030e-02,-4.291945719798309078e-01
1.759999999999999787e+00,4.102894690639866115e-02,-4.270155337054606370e-01
1.770000000000000462e+00,3.981344047301700606e-02,-4.248241156378833039e-01
1.780000000000000249e+00,3.863872683333221397e-02,-4.226195144229158429e-01
1.790000000000000036e+00,3.750545639849497959e-02,-4.204009990254660156e-01
1.799999999999999822e+00,3.641419688887073680e-02,-4.181679083520614126e-01
1.810000000000000497e+00,3.536543622705595052e-02,-4.159196490137395674e-01
1.820000000000000284e+00,3.435958541404000866e-02,-4.136556929572896557e-01
1.830000000000000071e+00,3.339698138416788420e-02,-4.113755752202120641e-01
1.839999999999999858e+00,3.247788983486339653e-02,-4.090788917180716022e-01
1.850000000000000533e+00,3.160250802735344033e-02,-4.067652969630794479e-01
1.860000000000000320e+00,3.077096755492481767e-02,-4.044345018933812597e-01
1.870000000000000107e+00,2.998333707550395258e-02,-4.020862717384575125e-01
1.879999999999999893e+00,2.923962500562199418e-02,-3.997204238274946753e-01
1.890000000000000568e+00,2.853978217306899282e-02,-3.973368255162824103e-01
1.900000000000000355e+00,2.788370442579260824e-02,-3.949353921901657682e-01
1.910000000000000142e+00,2.727123519481812822e-02,-3.925160851150775732e-01
1.919999999999999929e+00,2.670216800920301864e-02,-3.900789095337347523e-01
1.929999999999999716e+00,2.617624896124234532e-02,-3.876239127122315664e-01
1.940000000000000391e+00,2.569317912035375823e-02,-3.851511819907851852e-01
1.950000000000000178e+00,2.525261689426254799e-02,-3.826608429426700542e-01
1.959999999999999964e+00,2.485418033629752457e-02,-3.801530575570812309e-01
1.969999999999999751e+00,2.449744939778608285e-02,-3.776280224086639437e-01
1.980000000000000426e+00,2.418196812470403689e-02,-3.750859669695481569e-01
1.990000000000000213e+00,2.390724679790236576e-02,-3.725271518588846864e-01
2.000000000000000000e+00,2.367276401637831082e-02,-3.699518671864551189e-01
2.009999999999999787e+00,2.347796872321059741e-02,-3.673604310057127509e-01
2.020000000000000462e+00,2.332228217390772823e-02,-3.647531876308488519e-01
2.030000000000000249e+00,2.320509984705155723e-02,-3.621305061752353449e-01
2.040000000000000036e+00,2.312579329723541549e-02,-3.594927790563935965e-01
2.049999999999999822e+00,2.308371195041148544e-02,-3.568404205207293400e-01
2.060000000000000497e+00,2.307818484186534985e-02,-3.541738652726050818e-01
2.070000000000000284e+00,2.310852229713571820e-02,-3.514935670751365149e-01
2.080000000000000071e+00,2.317401755628629642e-02,-3.487999973655617758e-01
2.089999999999999858e+00,2.327394834202452939e-02,-3.460936443193857182e-01
2.100000000000000533e+00,2.340757837223669813e-02,-3.433750111170751351e-01
2.110000000000000320e+00,2.357415881758121584e-02,-3.406446148465712143e-01
2.120000000000000107e+00,2.377292970484959703e-02,-3.379029857128352798e-01
2.129999999999999893e+00,2.400312126686186820e-02,-3.351506655424578707e-01
2.140000000000000568e+00,2.426395523971758977e-02,-3.323882068287268288e-01
2.150000000000000355e+00,2.455464610827324395e-02,-3.296161716576715972e-01
2.160000000000000142e+00,2.487440230076131201e-02,-3.268351306955223912e-01
2.169999999999999929e+00,2.522242733350150284e-02,-3.240456622244228257e-01
2.179999999999999716e+00,2.559792090669173875e-02,-3.212483511823350235e-01
2.190000000000000391e+00,2.600007995229646623e-02,-3.184437882700163480e-01
2.200000000000000178e+00,2.642809963507220319e-02,-3.156325690606350820e-01
2.209999999999999964e+00,2.688117430779431161e-02,-3.128152931596928088e-01
2.219999999999999751e+00,2.735849842176632865e-02,-3.099925634175139111e-01
2.230000000000000426e+00,2.785926739370636618e-02,-3.071649851407323717e-01
2.240000000000000213e+00,2.838267843011548636e-02,-3.043331652774610707e-01
2.250000000000000000e+00,2.892793131024451111e-02,-3.014977118187973648e-01
2.259999999999999787e+00,2.949422912877381134e-02,-2.986592330325935629e-01
2.270000000000000462e+00,3.008077899933038826e-02,-2.958183368165512306e-01
2.280000000000000249e+00,3.068679271995861796e-02,-2.929756300677601177e-01
2.290000000000000036e+00,3.131148740166544986e-02,-2.901317180687591479e-01
2.299999999999999822e+00,3.195408606114950173e-02,-2.872872039323755011e-01
2.310000000000000497e+00,3.261381817882087059e-02,-2.844426880092066900e-01
2.320000000000000284e+00,3.328992022320763355e-02,-2.815987673897388244e-01
2.330000000000000071e+00,3.398163614283597478e-02,-2.787560353971449967e-01
2.339999999999999858e+00,3.468821782665711118e-02,-2.759150810740552684e-01
2.350000000000000533e+00,3.540892553408191840e-02,-2.730764887654342221e-01
2.360000000000000320e+00,3.614302829566918424e-02,-2.702408376499696452e-01
2.370000000000000107e+00,3.688980428549901852e-02,-2.674087013499926169e-01
2.379999999999999893e+00,3.764854116624311714e-02,-2.645806475210574216e-01
2.390000000000000568e+00,3.841853640792906865e-02,-2.617572374836145688e-01
2.400000000000000355e+00,3.919909758137555406e-02,-2.589390258637620512e-01
2.410000000000000142e+00,3.998954262725747805e-02,-2.561265602774495109e-01
2.419999999999999929e+00,4.078920010173912869e-02,-2.533203809892400349e-01
2.429999999999999716e+00,4.159740939959425537e-02,-2.505210206460506406e-01
2.440000000000000391e+00,4.241352095571081227e-02,-2.477290039713306302e-01
2.450000000000000178e+00,4.323689642585832466e-02,-2.449448475150200477e-01
2.459999999999999964e+00,4.406690884757308302e-02,-2.421690594174882860e-01
2.469999999999999751e+00,4.490294278199595535e-02,-2.394021391615582250e-01
2.480000000000000426e+00,4.574439443747753409e-02,-2.366445773841416855e-01
2.490000000000000213e+00,4.659067177574021529e-02,-2.338968556535518939e-01
