z,vpotbas,vxcpotbas
0.000000000000000000e+00,-1.269838154806405273e+00,-5.165121062834428400e+00
9.999999999999786837e-03,7.874877135268574246e-01,-3.092840898708826280e+00
2.000000000000046185e-02,9.211851198645742977e-01,-2.918710634686055627e+00
3.000000000000024869e-02,6.526440389198420178e-01,-3.127165989954285852e+00
4.000000000000003553e-02,6.398249691271442607e-01,-3.065082373445412678e+00
4.999999999999982236e-02,7.167869146870043950e-01,-2.902280465492216077e+00
6.000000000000049738e-02,7.794597204307877059e-01,-2.745972420933528557e+00
7.000000000000028422e-02,8.066631086953840457e-01,-2.619912797173499452e+00
8.000000000000007105e-02,8.070508795586142092e-01,-2.517501419479306612e+00
8.999999999999985789e-02,7.936717750666809623e-01,-2.427299011080599200e+00
1.000000000000005329e-01,7.766436098683986433e-01,-2.340447119561544831e+00
1.100000000000003197e-01,7.618458904376957941e-01,-2.252050390872033070e+00
1.200000000000001066e-01,7.517024060299123400e-01,-2.160444250092451224e+00
1.299999999999998934e-01,7.464662186523859377e-01,-2.065945005773650145e+00
1.399999999999996803e-01,7.452907763698789489e-01,-1.969807088891586844e+00
1.500000000000003553e-01,7.469166209358119035e-01,-1.873561552514406703e+00
1.600000000000001421e-01,7.500472609834252236e-01,-1.778662789563209001e+00
1.699999999999999289e-01,7.535305151238212984e-01,-1.686326834628472771e+00
1.799999999999997158e-01,7.564307084341517218e-01,-1.597475769925126965e+00
1.900000000000003908e-01,7.580417715139700086e-01,-1.512738510075102738e+00
2.000000000000001776e-01,7.578693533230614898e-01,-1.432480432362121192e+00
2.099999999999999645e-01,7.555985977560338851e-01,-1.356845819813735421e+00
2.199999999999997513e-01,7.510578574448559808e-01,-1.285803379389425682e+00
2.300000000000004263e-01,7.441844024485599896e-01,-1.219189194130982479e+00
2.400000000000002132e-01,7.349951521170231539e-01,-1.156744407813834474e+00
2.500000000000000000e-01,7.235633815684126002e-01,-1.098146975798095504e+00
2.599999999999997868e-01,7.100011044685435868e-01,-1.043038056708528671e+00
2.700000000000004619e-01,6.944462314429707961e-01,-9.910442203045041198e-01
2.800000000000002487e-01,6.770534372416042723e-01,-9.417967651904476378e-01
2.900000000000000355e-01,6.579877485844107809e-01,-8.949492346576011226e-01
2.999999999999998224e-01,6.374200472540090257e-01,-8.501937954670482078e-01
3.100000000000004974e-01,6.155238827658870981e-01,-8.072765910016157509e-01
3.200000000000002842e-01,5.924731632058136688e-01,-7.660115635232583875e-01
3.300000000000000711e-01,5.684404278728758531e-01,-7.262916523549400871e-01
3.399999999999998579e-01,5.435955029145759232e-01,-6.880958279910410758e-01
3.500000000000005329e-01,5.181044088941331172e-01,-6.514902602396821507e-01
3.600000000000003197e-01,4.921284355937877164e-01,-6.166221747165637757e-01
3.700000000000001066e-01,4.658233311626515105e-01,-5.837056920952520267e-01
3.799999999999998934e-01,4.393385747374644046e-01,-5.530001121834178246e-01
3.899999999999996803e-01,4.128167169440339901e-01,-5.247824774994449548e-01
4.000000000000003553e-01,3.863927830920472761e-01,-4.993174826182307235e-01
4.100000000000001421e-01,3.601937405783010027e-01,-4.768285117260445682e-01
4.199999999999999289e-01,3.343380358254807172e-01,-4.574735330074992667e-01
4.299999999999997158e-01,3.089352076471199027e-01,-4.413287306573652202e-01
4.400000000000003908e-01,2.840855838014836321e-01,-4.283813413993994290e-01
4.500000000000001776e-01,2.598800661784986810e-01,-4.185315753216077850e-01
4.599999999999999645e-01,2.364000079963944900e-01,-4.116021438282280176e-01
4.699999999999997513e-01,2.137171839440858978e-01,-4.073530677882520878e-01
4.800000000000004263e-01,1.918938516923540116e-01,-4.054991803706552989e-01
4.900000000000002132e-01,1.709829008373539017e-01,-4.057279792992954937e-01
5.000000000000000000e-01,1.510280832876816914e-01,-4.077160395950834015e-01
5.099999999999997868e-01,1.320643174523145613e-01,-4.111428614813389948e-01
5.200000000000004619e-01,1.141180573700058543e-01,-4.157016480238119871e-01
5.300000000000002487e-01,9.720771714038461964e-02,-4.211069891258367170e-01
5.400000000000000355e-01,8.134414064316008997e-02,-4.270997462931281907e-01
5.499999999999998224e-01,6.653110651664378983e-02,-4.334496009269785399e-01
5.600000000000004974e-01,5.276585865181365742e-02,-4.399557801829532822e-01
5.700000000000002842e-01,4.003965298199030354e-02,-4.464464527733122412e-01
5.800000000000000711e-01,2.833831205034748058e-02,-4.527772208230573803e-01
5.899999999999998579e-01,1.764277966223709582e-02,-4.588290526361027966e-01
6.000000000000005329e-01,7.929668827223124161e-03,-4.645059211583431602e-01
6.100000000000003197e-01,-8.282028750618564139e-04,-4.697323387464594768e-01
6.200000000000001066e-01,-8.661295444934824506e-03,-4.744509201078739857e-01
6.299999999999998934e-01,-1.560285017194740220e-02,-4.786200578484287038e-01
6.399999999999996803e-01,-2.168841810064808806e-02,-4.822117610607871696e-01
6.500000000000003553e-01,-2.695541566798648203e-02,-4.852096815109051553e-01
6.600000000000001421e-01,-3.144270921872210911e-02,-4.876073359097635174e-01
6.699999999999999289e-01,-3.519022947432565163e-02,-4.894065210474434768e-01
6.799999999999997158e-01,-3.823861647915144379e-02,-4.906159124346731182e-01
6.900000000000003908e-01,-4.062889507379896514e-02,-4.912498327514759899e-01
7.000000000000001776e-01,-4.240218054599925734e-02,-4.913271753155020738e-01
7.099999999999999645e-01,-4.359941377932574635e-02,-4.908704670450491081e-01
7.199999999999997513e-01,-4.426112495362427568e-02,-4.899050560067189086e-01
7.300000000000004263e-01,-4.442722464205584032e-02,-4.884584096261248565e-01
7.400000000000002132e-01,-4.413682099146037929e-02,-4.865595106312396445e-01
7.500000000000000000e-01,-4.342806155896367093e-02,-4.842383393678742487e-01
7.599999999999997868e-01,-4.233799830215834170e-02,-4.815254318431015923e-01
7.700000000000004619e-01,-4.090247417697112642e-02,-4.784515046111595948e-01
7.800000000000002487e-01,-3.915602978117177502e-02,-4.750471381889958544e-01
7.900000000000000355e-01,-3.713182848757023979e-02,-4.713425119158966559e-01
7.999999999999998224e-01,-3.486159853504461337e-02,-4.673671838161023717e-01
8.100000000000004974e-01,-3.237559058393191247e-02,-4.631499100838678551e-01
8.200000000000002842e-01,-2.970254929179333425e-02,-4.587184993427187440e-01
8.300000000000000711e-01,-2.686969752343204565e-02,-4.540996966067140650e-01
8.399999999999998579e-01,-2.390273187302505153e-02,-4.493190943113462565e-01
