z,vpotbas,vxcpotbas
0.000000000000000000e+00,-1.887852312270744903e+00,-6.205947188055755959e+00
9.999999999999786837e-03,1.352041280195384054e-01,-4.173566096632598033e+00
2.000000000000046185e-02,1.281207194286892115e+00,-3.001599175609909853e+00
3.000000000000024869e-02,1.006024106992889688e+00,-3.237122796453517193e+00
4.000000000000003553e-02,7.763332969066963907e-01,-3.415903823669376838e+00
4.999999999999982236e-02,7.261890141623310591e-01,-3.406065544142602430e+00
6.000000000000049738e-02,7.715831308190329585e-01,-3.293437412883889248e+00
7.000000000000028422e-02,8.387775577330026655e-01,-3.153293604107712422e+00
8.000000000000007105e-02,8.928019283002595063e-01,-3.021931740591928595e+00
8.999999999999985789e-02,9.249818530350597534e-01,-2.909167941645069977e+00
1.000000000000005329e-01,9.378015459632633721e-01,-2.813482435391365666e+00
1.100000000000003197e-01,9.369524557730066761e-01,-2.729987435358872006e+00
1.200000000000001066e-01,9.281568719027839531e-01,-2.653627189512950402e+00
1.299999999999998934e-01,9.160123930651126178e-01,-2.580357039698327970e+00
1.399999999999996803e-01,9.036951542277305016e-01,-2.507459409495738090e+00
1.500000000000003553e-01,8.930775922410676415e-01,-2.433440361928469464e+00
1.600000000000001421e-01,8.850211051995706679e-01,-2.357747540573798872e+00
1.699999999999999289e-01,8.796954688207224704e-01,-2.280459034798991258e+00
1.799999999999997158e-01,8.768494745528186973e-01,-2.202019730886102256e+00
1.900000000000003908e-01,8.760097454801627492e-01,-2.123048742618721896e+00
2.000000000000001776e-01,8.766133730723204565e-01,-2.044212496120946021e+00
2.099999999999999645e-01,8.780902085811782554e-01,-1.966147689411158250e+00
2.199999999999997513e-01,8.799106063502395436e-01,-1.889418339156510918e+00
2.300000000000004263e-01,8.816106743198229845e-01,-1.814494869300638857e+00
2.400000000000002132e-01,8.828031645742275835e-01,-1.741747148123978572e+00
2.500000000000000000e-01,8.831792524541900447e-01,-1.671446279389601219e+00
2.599999999999997868e-01,8.825046372680115381e-01,-1.603771784901042441e+00
2.700000000000004619e-01,8.806123084012353885e-01,-1.538821900586496039e+00
2.800000000000002487e-01,8.773936331774776498e-01,-1.476625392205505705e+00
2.900000000000000355e-01,8.727889375522479565e-01,-1.417153772612313789e+00
2.999999999999998224e-01,8.667783744098950249e-01,-1.360333165123732702e+00
3.100000000000004974e-01,8.593735736314330742e-01,-1.306055353263038565e+00
3.200000000000002842e-01,8.506103339901043281e-01,-1.254187779734990960e+00
3.300000000000000711e-01,8.405424450265270853e-01,-1.204582424885866532e+00
3.399999999999998579e-01,8.292366109512802064e-01,-1.157083603295417262e+00
3.500000000000005329e-01,8.167683789492979907e-01,-1.111534777928698592e+00
3.600000000000003197e-01,8.032189401209836044e-01,-1.067784512178676870e+00
3.700000000000001066e-01,7.886726619941556438e-01,-1.025691668518236010e+00
3.799999999999998934e-01,7.732152178251044949e-01,-9.851299342630847056e-01
3.899999999999996803e-01,7.569321925662794159e-01,-9.459917044703555211e-01
4.000000000000003553e-01,7.399080633269877749e-01,-9.081913054197007229e-01
4.100000000000001421e-01,7.222254701763396456e-01,-8.716674885833378683e-01
4.199999999999999289e-01,7.039647094785735915e-01,-8.363850866078174073e-01
4.299999999999997158e-01,6.852033958761766241e-01,-8.023356973064635911e-01
4.400000000000003908e-01,6.660162504496286440e-01,-7.695372623135673384e-01
