z,vpotbas,vxcpotbas
0.000000000000000000e+00,-6.773868319426772366e-01,-2.116751535284285168e+00
9.999999999999786837e-03,2.778545502332319117e-02,-1.408471140648473119e+00
2.000000000000046185e-02,4.267481668528488870e-01,-1.000853690037333266e+00
3.000000000000024869e-02,3.306275102266138521e-01,-1.083754225961880424e+00
4.000000000000003553e-02,2.513861788493533256e-01,-1.146025560729619031e+00
4.999999999999982236e-02,2.355236005870204874e-01,-1.141894173774262500e+00
6.000000000000049738e-02,2.532045261462161356e-01,-1.101802256123283197e+00
7.000000000000028422e-02,2.782944778420853305e-01,-1.052396125171258356e+00
8.000000000000007105e-02,2.984082838034340934e-01,-1.006503263803857795e+00
8.999999999999985789e-02,3.104978899651382185e-01,-9.675522874122151062e-01
1.000000000000005329e-01,3.154902613485195406e-01,-9.349377593141365850e-01
1.100000000000003197e-01,3.154594771668515207e-01,-9.068535626222657964e-01
1.200000000000001066e-01,3.124886619889297723e-01,-8.814388265987427307e-01
1.299999999999998934e-01,3.082524326027304973e-01,-8.572033059590478121e-01
1.399999999999996803e-01,3.039090332650856707e-01,-8.331416437518922580e-01
1.500000000000003553e-01,3.001431027844708721e-01,-8.086953788806466870e-01
1.600000000000001421e-01,2.972721242710796297e-01,-7.836500341347130139e-01
1.699999999999999289e-01,2.953625846220999107e-01,-7.580217232787636039e-01
1.799999999999997158e-01,2.943283193214203397e-01,-7.319611421071583468e-01
1.900000000000003908e-01,2.940026677055567195e-01,-7.056835005306402175e-01
2.000000000000001776e-01,2.941865250578725166e-01,-6.794223815508240172e-01
2.099999999999999645e-01,2.946780865989611642e-01,-6.534017500897384423e-01
2.199999999999997513e-01,2.952900546777569302e-01,-6.278203437854812385e-01
2.300000000000004263e-01,2.958587061707981247e-01,-6.028440523198249634e-01
2.400000000000002132e-01,2.962477795734261843e-01,-5.786033391960128114e-01
2.500000000000000000e-01,2.963490853360107313e-01,-5.551938207134237135e-01
2.599999999999997868e-01,2.960810794883328434e-01,-5.326787857407155879e-01
2.700000000000004619e-01,2.953862438704105697e-01,-5.110928351112851153e-01
2.800000000000002487e-01,2.942278672761760028e-01,-4.904460672444863611e-01
2.900000000000000355e-01,2.925866470848231260e-01,-4.707284081849936741e-01
2.999999999999998224e-01,2.904573960297505142e-01,-4.519138145406207396e-01
3.100000000000004974e-01,2.878460311980128861e-01,-4.339641837493867227e-01
3.200000000000002842e-01,2.847669386354069188e-01,-4.168328859236247741e-01
3.300000000000000711e-01,2.812407454382173100e-01,-4.004678915295227792e-01
3.399999999999998579e-01,2.772924896328839983e-01,-3.848145081497523767e-01
3.500000000000005329e-01,2.729501531343977438e-01,-3.698177616044130422e-01
3.600000000000003197e-01,2.682435107502485483e-01,-3.554244646449784550e-01
3.700000000000001066e-01,2.632032447489750515e-01,-3.415850128871305014e-01
3.799999999999998934e-01,2.578602766437327332e-01,-3.282549382177944453e-01
3.899999999999996803e-01,2.522452729822435291e-01,-3.153962328261794568e-01
4.000000000000003553e-01,2.463882882717328693e-01,-3.029784411546201373e-01
4.100000000000001421e-01,2.403185145533541234e-01,-2.909794987996665028e-01
4.199999999999999289e-01,2.340641129471613402e-01,-2.793862842944185854e-01
4.299999999999997158e-01,2.276521074518845222e-01,-2.681948408290829033e-01
4.400000000000003908e-01,2.211083253664312132e-01,-2.574102249464728653e-01
4.500000000000001776e-01,2.144573719864389938e-01,-2.470459478948963117e-01
4.599999999999999645e-01,2.077226298520649383e-01,-2.371229947181118514e-01
4.699999999999997513e-01,2.009262749199332287e-01,-2.276684341679306722e-01
4.800000000000004263e-01,1.940893037222315709e-01,-2.187136668281266239e-01
4.900000000000002132e-01,1.872315669531366966e-01,-2.102923954910649873e-01
5.000000000000000000e-01,1.803718060554160840e-01,-2.024384339492932838e-01
5.099999999999997868e-01,1.735276903159019002e-01,-1.951834938850854073e-01
5.200000000000004619e-01,1.667158527499604803e-01,-1.885550984795986706e-01
5.300000000000002487e-01,1.599519236848429560e-01,-1.825747639120738897e-01
5.400000000000000355e-01,1.532505614566570251e-01,-1.772565661744497645e-01
5.499999999999998224e-01,1.466254800297219496e-01,-1.726061740091811847e-01
5.600000000000004974e-01,1.400894736429248721e-01,-1.686203843650879441e-01
5.700000000000002842e-01,1.336544387978870763e-01,-1.652871515096262511e-01
5.800000000000000711e-01,1.273313940405570721e-01,-1.625860607738340569e-01
5.899999999999998579e-01,1.211304980634765882e-01,-1.604891671657377450e-01
6.000000000000005329e-01,1.150610666821231809e-01,-1.589621012720435766e-01
6.100000000000003197e-01,1.091315892264941301e-01,-1.579653389660807816e-01
6.200000000000001066e-01,1.033497448484596570e-01,-1.574555367536972783e-01
6.299999999999998934e-01,9.772241918531748839e-02,-1.573868481184301782e-01
6.399999999999996803e-01,9.225572174792351365e-02,-1.577121539202725464e-01
6.500000000000003553e-01,8.695500432411110148e-02,-1.583841602072095234e-01
6.600000000000001421e-01,8.182488060975318112e-02,-1.593563352096570296e-01
6.699999999999999289e-01,7.686924720458532256e-02,-1.605836741522501387e-01
6.799999999999997158e-01,7.209130604051819380e-02,-1.620232934763525534e-01
6.900000000000003908e-01,6.749358824837303761e-02,-1.636348652621502087e-01
7.000000000000001776e-01,6.307797941584369905e-02,-1.653809091231826234e-01
7.099999999999999645e-01,5.884574614538107262e-02,-1.672269615745837212e-01
7.199999999999997513e-01,5.479756378556693841e-02,-1.691416441138767768e-01
7.300000000000004263e-01,5.093354518292225741e-02,-1.710966505046121189e-01
7.400000000000002132e-01,4.725327028235112858e-02,-1.730666718722166098e-01
7.500000000000000000e-01,4.375581639269035539e-02,-1.750292762524025825e-01
7.599999999999997868e-01,4.043978892825053628e-02,-1.769647564034938503e-01
7.700000000000004619e-01,3.730335243684393398e-02,-1.788559574565868615e-01
7.800000000000002487e-01,3.434426172871585248e-02,-1.806880934519405624e-01
7.900000000000000355e-01,3.155989292817620862e-02,-1.824485599209944020e-01
7.999999999999998224e-01,2.894727427979146284e-02,-1.841267477780827999e-01
8.100000000000004974e-01,2.650311655303289049e-02,-1.857138623715160752e-01
8.200000000000002842e-01,2.422384290270057638e-02,-1.872027503043569296e-01
8.300000000000000711e-01,2.210561805670724356e-02,-1.885877358981819241e-01
8.399999999999998579e-01,2.014437671749266801e-02,-1.898644680476395952e-01
8.500000000000005329e-01,1.833585107805849046e-02,-1.910297781123271865e-01
8.600000000000003197e-01,1.667559736810869664e-02,-1.920815487816388278e-01
8.700000000000001066e-01,1.515902135978178245e-02,-1.930185937310050504e-01
8.799999999999998934e-01,1.378140277583048134e-02,-1.938405475765139496e-01
8.899999999999996803e-01,1.253791855568756053e-02,-1.945477656794449561e-01
9.000000000000003553e-01,1.142366494657745535e-02,-1.951412330783020566e-01
9.100000000000001421e-01,1.043367839763889582e-02,-1.956224819268187198e-01
9.199999999999999289e-01,9.562955244887760831e-03,-1.959935168721184950e-01
9.299999999999997158e-01,8.806470183758685621e-03,-1.962567475438899145e-01
9.400000000000003908e-01,8.159193533951392130e-03,-1.964149277834835450e-01
9.500000000000001776e-01,7.616107308382108476e-03,-1.964711008338679010e-01
9.599999999999999645e-01,7.172220104252974293e-03,-1.964285500823222397e-01
9.699999999999997513e-01,6.822580839646985584e-03,-1.962907547678657272e-01
9.800000000000004263e-01,6.562291363679084721e-03,-1.960613502831622945e-01
9.900000000000002132e-01,6.386517972144012401e-03,-1.957440925697770673e-01
1.000000000000000000e+00,6.290501863856767795e-03,-1.953428263484860705e-01
1.009999999999999787e+00,6.269568575529071985e-03,-1.948614566732295161e-01
1.020000000000000462e+00,6.319136435128852591e-03,-1.943039236513456336e-01
