z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,2.754740783790432523e+00,-1.564037553914837453e+00
1.000000000000333955e-03,2.733922651802568993e+00,-1.584759746722705032e+00
1.999999999999779732e-03,2.672556817557759423e+00,-1.645838119026407753e+00
3.000000000000113687e-03,2.573819694862939045e+00,-1.744097307653303730e+00
4.000000000000447642e-03,2.442717837166705319e+00,-1.874532457826978860e+00
4.999999999999893419e-03,2.285690629180151312e+00,-2.030706458009509774e+00
6.000000000000227374e-03,2.110116848723849969e+00,-2.205243284498140000e+00
6.999999999999673150e-03,1.923777116541320220e+00,-2.390365445936915023e+00
8.000000000000007105e-03,1.734325816779836549e+00,-2.578421953399988809e+00
9.000000000000341061e-03,1.548820869955729762e+00,-2.762358442031636940e+00
9.999999999999786837e-03,1.373349023142008241e+00,-2.936091786158273820e+00
1.100000000000012079e-02,1.212770076521522133e+00,-3.094765793358793537e+00
1.200000000000045475e-02,1.070588015891646760e+00,-3.234880010872637435e+00
1.299999999999990052e-02,9.489426066271389182e-01,-3.354298089431920982e+00
1.400000000000023448e-02,8.487034218740812097e-01,-3.452153730897289385e+00
1.499999999999968026e-02,7.696406454570585698e-01,-3.528679876894209144e+00
1.600000000000001421e-02,7.106436704484173639e-01,-3.584990114395226524e+00
1.700000000000034817e-02,6.699591785196903349e-01,-3.622840609625606056e+00
1.799999999999979394e-02,6.454241874372628196e-01,-3.644397079527097016e+00
1.900000000000012790e-02,6.346753643323255201e-01,-3.652025499786044627e+00
2.000000000000046185e-02,6.353225414658851822e-01,-3.648118610805268780e+00
2.099999999999990763e-02,6.450808052162320116e-01,-3.634963847924323144e+00
2.200000000000024158e-02,6.618609959906602835e-01,-3.614652858171865546e+00
2.299999999999968736e-02,6.838225180853121365e-01,-3.589028703050562097e+00
2.400000000000002132e-02,7.093948837968035992e-01,-3.559664323253163509e+00
2.500000000000035527e-02,7.372755210769823542e-01,-3.527864736342535057e+00
2.599999999999980105e-02,7.664113350356385190e-01,-3.494685477240274896e+00
2.700000000000013500e-02,7.959706800113297565e-01,-3.460960626030818332e+00
2.800000000000046896e-02,8.253111196475351186e-01,-3.427335045487786669e+00
2.899999999999991473e-02,8.539469248498614551e-01,-3.394296879711128589e+00
3.000000000000024869e-02,8.815189029329599801e-01,-3.362207720935206368e+00
3.099999999999969447e-02,9.077680012234115026e-01,-3.331329001314433214e+00
3.200000000000002842e-02,9.325132460520437760e-01,-3.301844050116709006e+00
3.300000000000036238e-02,9.556339679560235112e-01,-3.273875863863011659e+00
3.399999999999980815e-02,9.770558939208449090e-01,-3.247501010944037425e+00
3.500000000000014211e-02,9.967405071479054079e-01,-3.222760269181156101e+00
3.600000000000047606e-02,1.014677029397328845e+00,-3.199666640649896365e+00
3.699999999999992184e-02,1.030876420667638627e+00,-3.178211350531067403e+00
3.800000000000025580e-02,1.045366875859025102e+00,-3.158368349252600460e+00
3.899999999999970157e-02,1.058190399325477760e+00,-3.140097737375546760e+00
4.000000000000003553e-02,1.069400137381926408e+00,-3.123348432791299700e+00
4.100000000000036948e-02,1.079058235758883377e+00,-3.108060313530665475e+00
4.199999999999981526e-02,1.087234059560361787e+00,-3.094165998384890592e+00
4.300000000000014921e-02,1.094002667192461642e+00,-3.081592373755268177e+00
4.400000000000048317e-02,1.099443468824970349e+00,-3.070261936086143617e+00
4.499999999999992895e-02,1.103639026951650504e+00,-3.060093992803414320e+00
4.600000000000026290e-02,1.106673974369976055e+00,-3.051005745605164687e+00
4.699999999999970868e-02,1.108634035952301478e+00,-3.042913269619362371e+00
4.800000000000004263e-02,1.109605146998239977e+00,-3.035732396745202788e+00
4.900000000000037659e-02,1.109672664317037816e+00,-3.029379506344842987e+00
4.999999999999982236e-02,1.108920667625832301e+00,-3.023772224433183275e+00
5.100000000000015632e-02,1.107431349147157906e+00,-3.018830036152194030e+00
5.200000000000049027e-02,1.105284488965779355e+00,-3.014474811205149152e+00
5.299999999999993605e-02,1.102557013091294724e+00,-3.010631247222988360e+00
5.400000000000027001e-02,1.099322630471261775e+00,-3.007227233280358902e+00
5.499999999999971578e-02,1.095651544528136068e+00,-3.004194141250452699e+00
5.600000000000004974e-02,1.091610234216631170e+00,-3.001467042915487049e+00
5.700000000000038369e-02,1.087261299147463722e+00,-2.998984867516768738e+00
5.799999999999982947e-02,1.082663363009112700e+00,-2.996690498606277231e+00
5.900000000000016342e-02,1.077871029340235598e+00,-2.994530818564764996e+00
6.000000000000049738e-02,1.072934883652510551e+00,-2.992456708150871947e+00
6.099999999999994316e-02,1.067901535964154602e+00,-2.990423002784375228e+00
6.200000000000027711e-02,1.062813697963586490e+00,-2.988388416896492039e+00
6.299999999999972289e-02,1.057710289264381487e+00,-2.986315437713425780e+00
6.400000000000005684e-02,1.052626567520953627e+00,-2.984170195483333288e+00
6.500000000000039080e-02,1.047594277534410256e+00,-2.981922314248768746e+00
6.599999999999983658e-02,1.042641814874270212e+00,-2.979544748719129110e+00
6.700000000000017053e-02,1.037794399962009395e+00,-2.977013610160208934e+00
6.800000000000050449e-02,1.033074258993796235e+00,-2.974307985510554531e+00
