z,vpotbasa,vxcpotbasa
0.000000000000000000e+00,-6.773868319426772366e-01,-2.116751535284285168e+00
1.000000000000333955e-03,-6.668152547830422661e-01,-2.106148024738010438e+00
1.999999999999779732e-03,-6.356473003141976941e-01,-2.074884388304623073e+00
3.000000000000113687e-03,-5.854785376642210881e-01,-2.024556544329856322e+00
4.000000000000447642e-03,-5.188241060588174580e-01,-1.957680196669766781e+00
4.999999999999893419e-03,-4.389194920893322305e-01,-1.877491587537596818e+00
6.000000000000227374e-03,-3.494730949410445042e-01,-1.787700031667925904e+00
6.999999999999673150e-03,-2.543966551961741596e-01,-1.692218310038382079e+00
8.000000000000007105e-03,-1.575404076847778667e-01,-1.594897786396834549e+00
9.000000000000341061e-03,-6.245721228761647037e-02,-1.499292503085186468e+00
9.999999999999786837e-03,2.778545502332319117e-02,-1.408471140648473119e+00
1.100000000000012079e-02,1.107339089691096179e-01,-1.324888584696493510e+00
1.200000000000045475e-02,1.846130615354562854e-01,-1.250321099034451322e+00
1.299999999999990052e-02,2.483308552287589455e-01,-1.185861878358803745e+00
1.400000000000023448e-02,3.014313557048825531e-01,-1.131967947549687104e+00
1.499999999999968026e-02,3.440093621584468520e-01,-1.088545548405793761e+00
1.600000000000001421e-02,3.766010578558256494e-01,-1.055059490414507417e+00
1.700000000000034817e-02,4.000648904204759382e-01,-1.030652274793643519e+00
1.799999999999979394e-02,4.154649658042708915e-01,-1.014260706748453700e+00
1.900000000000012790e-02,4.239663277315521839e-01,-1.004720623045254779e+00
2.000000000000046185e-02,4.267481668528488870e-01,-1.000853690037333266e+00
2.099999999999990763e-02,4.249377791303914353e-01,-1.001533451634639027e+00
2.200000000000024158e-02,4.195653530156768785e-01,-1.005730547651631168e+00
2.299999999999968736e-02,4.115376296199494965e-01,-1.012539057838609535e+00
2.400000000000002132e-02,4.016272146706187929e-01,-1.021187192867447191e+00
2.500000000000035527e-02,3.904737675612459658e-01,-1.031036107068386665e+00
2.599999999999980105e-02,3.785933127274577759e-01,-1.041570587731780240e+00
2.700000000000013500e-02,3.663923367826941169e-01,-1.052384957947090083e+00
2.800000000000046896e-02,3.541839764332900264e-01,-1.063166887904799296e+00
2.899999999999991473e-02,3.422043180739718915e-01,-1.073681094180808149e+00
3.000000000000024869e-02,3.306275102266138521e-01,-1.083754225961880424e+00
3.099999999999969447e-02,3.195789666886788005e-01,-1.093261660369851951e+00
3.200000000000002842e-02,3.091463807313208911e-01,-1.102116486999676015e+00
3.300000000000036238e-02,2.993885766681269600e-01,-1.110260654802150526e+00
3.399999999999980815e-02,2.903424106921929648e-01,-1.117658070202722786e+00
3.500000000000014211e-02,2.820280233535744641e-01,-1.124289343733882340e+00
3.600000000000047606e-02,2.744527688597619974e-01,-1.130147859791117204e+00
3.699999999999992184e-02,2.676141264736084380e-01,-1.135236864741444585e+00
3.800000000000025580e-02,2.615018566962966085e-01,-1.139567310341852657e+00
3.899999999999970157e-02,2.560996140970535628e-01,-1.143156240718603556e+00
4.000000000000003553e-02,2.513861788493533256e-01,-1.146025560729619031e+00
4.100000000000036948e-02,2.473364253403737834e-01,-1.148201067439717171e+00
4.199999999999981526e-02,2.439221107109481590e-01,-1.149711661770491888e+00
4.300000000000014921e-02,2.411125390060963880e-01,-1.150588684606290935e+00
4.400000000000048317e-02,2.388751368563439281e-01,-1.150865341408247033e+00
4.499999999999992895e-02,2.371759629058256547e-01,-1.150576193283994852e+00
4.600000000000026290e-02,2.359801641333303668e-01,-1.149756701088189503e+00
4.699999999999970868e-02,2.352523865053578189e-01,-1.148442815078001500e+00
4.800000000000004263e-02,2.349571440214214268e-01,-1.146670606432215855e+00
4.900000000000037659e-02,2.350591483745619603e-01,-1.144475938182349273e+00
4.999999999999982236e-02,2.355236005870204874e-01,-1.141894173774262500e+00
5.100000000000015632e-02,2.363164457017755127e-01,-1.138959923069350122e+00
5.200000000000049027e-02,2.374045916564543890e-01,-1.135706823736354787e+00
5.299999999999993605e-02,2.387560936723031046e-01,-1.132167357342686920e+00
5.400000000000027001e-02,2.403403057563676393e-01,-1.128372698032521715e+00
5.499999999999971578e-02,2.421280011805256871e-01,-1.124352593015102375e+00
5.600000000000004974e-02,2.440914640339433839e-01,-1.120135270408573858e+00
5.700000000000038369e-02,2.462045541294638762e-01,-1.115747375228950178e+00
5.799999999999982947e-02,2.484427476733992446e-01,-1.111213928817701646e+00
5.900000000000016342e-02,2.507831561816415977e-01,-1.106558310027934811e+00
6.000000000000049738e-02,2.532045261462161356e-01,-1.101802256123283197e+00
6.099999999999994316e-02,2.556872219305429406e-01,-1.096965879491452078e+00
6.200000000000027711e-02,2.582131943046852007e-01,-1.092067699622993215e+00
6.299999999999972289e-02,2.607659369304685670e-01,-1.087124686641743665e+00
6.400000000000005684e-02,2.633304329772179209e-01,-1.082152314813247695e+00
6.500000000000039080e-02,2.658930938981064473e-01,-1.077164623730313853e+00
6.599999999999983658e-02,2.684416922312724552e-01,-1.072174285683474615e+00
6.700000000000017053e-02,2.709652901140288117e-01,-1.067192677142521529e+00
6.800000000000050449e-02,2.734541650179674876e-01,-1.062229953039125707e+00
6.899999999999995026e-02,2.758997340319167546e-01,-1.057295122596766390e+00
7.000000000000028422e-02,2.782944778420853305e-01,-1.052396125171258356e+00
7.099999999999972999e-02,2.806318653876561653e-01,-1.047539905883621447e+00
7.200000000000006395e-02,2.829062800080442419e-01,-1.042732489204332813e+00
7.300000000000039790e-02,2.851129477466753936e-01,-1.037979050843141904e+00
7.399999999999984368e-02,2.872478683372459152e-01,-1.033283986686773792e+00
